聚类组,样本数量,占比,指标,中心值,平均值,标准差,范围
聚类 0,23,15.5%,身高,160.87,160.87,4.86,147.0-169.0
聚类 0,23,15.5%,头高,21.87,21.87,2.05,17.0-25.0
聚类 0,23,15.5%,头宽,14.87,14.87,1.39,12.0-17.0
聚类 0,23,15.5%,头围,54.52,54.52,8.02,19.0-61.0
聚类 0,23,15.5%,瞳高,11.26,11.26,1.48,10.0-17.0
聚类 0,23,15.5%,瞳距,6.43,6.43,1.04,5.0-9.0
聚类 0,23,15.5%,肩宽,39.78,39.78,3.13,35.0-47.0
聚类 1,74,50.0%,身高,172.55,172.55,3.55,164.0-181.0
聚类 1,74,50.0%,头高,23.70,23.70,1.96,18.0-29.0
聚类 1,74,50.0%,头宽,16.12,16.12,2.01,12.0-21.0
聚类 1,74,50.0%,头围,57.76,57.76,2.15,51.0-62.0
聚类 1,74,50.0%,瞳高,11.84,11.84,1.11,9.0-14.0
聚类 1,74,50.0%,瞳距,6.53,6.53,0.91,5.0-11.0
聚类 1,74,50.0%,肩宽,41.76,41.76,3.31,35.0-55.0
聚类 2,51,34.5%,身高,180.49,180.49,4.76,168.0-193.0
聚类 2,51,34.5%,头高,24.57,24.57,2.41,19.0-35.0
聚类 2,51,34.5%,头宽,17.71,17.71,3.02,12.0-28.0
聚类 2,51,34.5%,头围,59.25,59.25,1.61,54.0-63.0
聚类 2,51,34.5%,瞳高,12.67,12.67,1.32,10.0-16.0
聚类 2,51,34.5%,瞳距,7.10,7.10,0.88,6.0-10.0
聚类 2,51,34.5%,肩宽,45.67,45.67,3.91,40.0-65.0
